id,prod_id,model,total
2605,694,Jordan,383
2606,694,1,310
2607,694,Mid,113
2608,695,Jordan,383
2609,695,11,17
2610,695,Retro,224
2611,696,Jordan,383
2612,696,6,20
2613,696,Rings,3
2614,697,adidas,126
2615,697,Forum,10
2616,697,84,6
2617,697,Low,278
2618,698,Jordan,383
2619,698,1,310
2620,698,Low,278
2621,699,Jordan,383
2622,699,1,310
2623,699,Low,278
2624,699,SE,41
2625,700,Nike,373
2626,700,Air,140
2627,700,Force,43
2628,700,1,310
2629,700,Mid,113
2630,700,'07,17
2631,701,Nike,373
2632,701,Air,140
2633,701,Force,43
2634,701,1,310
2635,701,Low,278
2636,701,SP,22
2637,702,adidas,126
2638,702,Yeezy,92
2639,702,450,6
2640,703,Nike,373
2641,703,Dunk,178
2642,703,Low,278
2643,703,NH,2
2644,704,Nike,373
2645,704,Dunk,178
2646,704,Low,278
2647,705,adidas,126
2648,705,Yeezy,92
2649,705,Boost,48
2650,705,350,32
2651,705,V2,32
2652,706,Nike,373
2653,706,Blazer,21
2654,706,Low,278
2655,706,Platform,1
2656,707,Jordan,383
2657,707,1,310
2658,707,Low,278
2659,708,Nike,373
2660,708,Dunk,178
2661,708,High,115
2662,709,Nike,373
2663,709,Air,140
2664,709,Max,55
2665,709,Penny,4
2666,709,1,310
2667,710,Nike,373
2668,710,Air,140
2669,710,Max,55
2670,710,90,9
2671,710,Terrascape,6
2672,711,Jordan,383
2673,711,1,310
2674,711,Retro,224
2675,711,High,115
2676,712,Nike,373
2677,712,Dunk,178
2678,712,Low,278
2679,713,New,57
2680,713,Balance,57
2681,713,550,26
2682,714,Jordan,383
2683,714,1,310
2684,714,Mid,113
2685,715,Jordan,383
2686,715,1,310
2687,715,Low,278
2688,716,Nike,373
2689,716,Air,140
2690,716,Max,55
2691,716,95,4
2692,717,Nike,373
2693,717,Air,140
2694,717,Trainer,5
2695,717,1,310
2696,717,SP,22
2697,718,Jordan,383
2698,718,1,310
2699,718,Retro,224
2700,718,Low,278
2701,718,OG,39
2702,718,SP,22
2703,719,Air,140
2704,719,Jordan,383
2705,719,1,310
2706,719,Low,278
2707,720,Jordan,383
2708,720,1,310
2709,720,Mid,113
2710,721,Jordan,383
2711,721,1,310
2712,721,Retro,224
2713,721,Low,278
2714,721,Golf,10
2715,722,Nike,373
2716,722,Dunk,178
2717,722,Low,278
2718,723,Jordan,383
2719,723,4,31
2720,723,Retro,224
2721,724,Jordan,383
2722,724,1,310
2723,724,Elevate,2
2724,724,Low,278
2725,725,Jordan,383
2726,725,2,18
2727,725,Retro,224
2728,725,SP,22
2729,726,New,57
2730,726,Balance,57
2731,726,57/40,1
2732,727,Nike,373
2733,727,Dunk,178
2734,727,Low,278
2735,728,Nike,373
2736,728,Dunk,178
2737,728,Low,278
2738,728,Disrupt,6
2739,728,2,18
2740,729,Nike,373
2741,729,Air,140
2742,729,Force,43
2743,729,1,310
2744,729,Low,278
2745,729,Gore-Tex,2
2746,730,New,57
2747,730,Balance,57
2748,730,2002R,13
2749,731,Jordan,383
2750,731,1,310
2751,731,Retro,224
2752,731,Low,278
2753,731,OG,39
2754,731,SP,22
2755,732,Nike,373
2756,732,Dunk,178
2757,732,High,115
2758,733,Jordan,383
2759,733,1,310
2760,733,Mid,113
2761,734,Jordan,383
2762,734,1,310
2763,734,Low,278
2764,734,SE,41
2765,735,Nike,373
2766,735,Air,140
2767,735,More,4
2768,735,Uptempo,4
2769,736,Jordan,383
2770,736,1,310
2771,736,Mid,113
2772,737,Jordan,383
2773,737,1,310
2774,737,Elevate,2
2775,737,Low,278
2776,737,SE,41
2777,738,Nike,373
2778,738,Air,140
2779,738,Force,43
2780,738,1,310
2781,738,Low,278
2782,738,Shadow,2
2783,739,Jordan,383
2784,739,5,22
2785,739,Retro,224
2786,740,Jordan,383
2787,740,5,22
2788,740,Retro,224
2789,741,Nike,373
2790,741,Dunk,178
2791,741,High,115
2792,741,Retro,224
2793,742,Nike,373
2794,742,Dunk,178
2795,742,Low,278
2796,743,Jordan,383
2797,743,1,310
2798,743,Mid,113
2799,744,Jordan,383
2800,744,1,310
2801,744,High,115
2802,744,Zoom,11
2803,744,Air,140
2804,744,CMFT,7
2805,745,New,57
2806,745,Balance,57
2807,745,2002R,13
2808,746,Nike,373
2809,746,Dunk,178
2810,746,Low,278
2811,746,LX,6
2812,747,Nike,373
2813,747,Killshot,2
2814,747,2,18
2815,747,Leather,1
2816,748,Jordan,383
2817,748,4,31
2818,748,Retro,224
2819,749,Nike,373
2820,749,SB,23
2821,749,Dunk,178
2822,749,High,115
2823,749,Pro,9
2824,749,Premium,5
2825,750,Jordan,383
2826,750,1,310
2827,750,Mid,113
2828,750,SE,41
2829,751,adidas,126
2830,751,Yeezy,92
2831,751,Knit,1
2832,751,RNR,6
2833,752,Puma,9
2834,752,LaMelo,9
2835,752,Ball,9
2836,752,MB.01,9
2837,753,adidas,126
2838,753,Yeezy,92
2839,753,Boost,48
2840,753,350,32
2841,753,V2,32
2842,754,Jordan,383
2843,754,1,310
2844,754,Mid,113
2845,754,SE,41
2846,755,adidas,126
2847,755,Yeezy,92
2848,755,Boost,48
2849,755,350,32
2850,755,V2,32
2851,756,Puma,9
2852,756,LaMelo,9
2853,756,Ball,9
2854,756,MB.01,9
2855,757,Jordan,383
2856,757,7,7
2857,757,Retro,224
2858,757,SE,41
2859,758,Jordan,383
2860,758,1,310
2861,758,Mid,113
2862,759,Nike,373
2863,759,Epic,1
2864,759,Phantom,2
2865,759,React,5
2866,759,Flyknit,6
2867,760,adidas,126
2868,760,Ultra,8
2869,760,Boost,48
2870,760,DNA,6
2871,760,4.0,4
2872,761,Nike,373
2873,761,Air,140
2874,761,Force,43
2875,761,1,310
2876,761,Low,278
2877,761,Shadow,2
